GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Speaking URL,de.weltraumschaf.speakingurl,Language,9,129,0,0,0,13,2,2,2,2
Speaking URL,de.weltraumschaf.speakingurl,Slug.Builder,10,166,0,0,2,39,1,14,1,14
Speaking URL,de.weltraumschaf.speakingurl,SymbolMapper,1361,0,0,0,14,0,2,0,2,0
Speaking URL,de.weltraumschaf.speakingurl,LanguageCharacterMapper,47,0,0,0,5,0,2,0,2,0
Speaking URL,de.weltraumschaf.speakingurl,CharacterMappper,6013,0,0,0,2,0,2,0,2,0
Speaking URL,de.weltraumschaf.speakingurl,SlugImplementation,10,190,2,0,3,37,2,22,1,22
Speaking URL,de.weltraumschaf.speakingurl,Validator,0,65,0,8,0,14,0,8,0,4
Speaking URL,de.weltraumschaf.speakingurl,CharacterEscaper,18,0,0,0,3,0,2,0,2,0
